Designator,Value,Package,MidX,MidY,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,196.469,-109.347,270,top
C2,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,207.518,-102.489,270,top
C3,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,206.375,-89.281,120,top
C4,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,194.691,-112.522,0,top
C5,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,186.69,-86.614,180,top
C6,C,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,181.0512,-112.2172,270,top
C7,TAJB107K006RNJ,CAPPM3528X210N,178.816,-89.281,270,top
D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,193.421,-108.331,0,top
D2,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,202.946,-103.251,60,top
D3,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.0165,-91.571228,120,top
D4,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,194.056,-86.995,180,top
D5,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,184.7285,-92.197772,240,top
D6,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,184.658,-103.378,300,top
IC3,DS18B20Z+,SOIC127P600X175-8N,178.429,-104.143,90,top
LED1,F.35.00041,F3500041,205.613,-97.536,0,top
LED2,F.35.00041,F3500041,181.737,-97.5868,0,top
Q1,NCE6005AS,SOIC127P600X175-8N,202.3872,-110.0836,0,top
R1,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,193.67,-105.37,180,top
R2,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,200.3,-101.52,60,top
R3,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,200.12,-93.38,120,top
R4,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,187.26,-101.77,300,top
R5,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,193.79,-89.99,0,top
R6,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,187.31,-93.61,240,top
R7,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,199.263,-86.995,180,top
R8,R,R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,188.087,-107.315,330,top
R9,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,208.915,-93.5355,0,top
R11,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,205.232,-114.8842,90,top
R12,500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,193.43,-110.236,180,top
R13,500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.597,-104.394,240,top
R14,500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,204.597,-90.297,300,top
R15,500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,194.056,-85.09,0,top
R16,500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.007,-91.186,60,top
R17,500,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,183.0115,-104.392676,300,top
R18,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,177.546,-97.536,90,top
