Item,Reference(s),Qty,Manufacturer,Manufacturer Part number,Value,Footprint,Comment,,,,,,
1,"C1, C2, C3, C4, C5, C6",6,Generic cap,Generic,1uf 50V,C_0805,C28323,,,,,,
2,"D1, D2, D3, D4, D5, D6",6,Worldsemi,WS2812B,WS2812B,WS2812B,C114586,,,,,,
3,"R1, R2, R3, R4, R5, R6",6,Generic res,Generic,56 Ohms 1/3W,R_1210,C72399,,,,,,
4,"R9, R10",2,Generic res,Generic,60.4 OHMS 1/8W,R_0805,C72998,,,,,,
5,IC3,1,Maxim Integrated,DS18B20Z+,DS18B20Z+,SOIC-8_3.9x4.9x1.27P,C97190,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Datasheet,Description,Height,Manufacturer_Name,Manufacturer_Part_Number,RS Part Number,RS Price/Stock
,,,,,,,~,,,,,,
,,,,,,,https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf,,,,,,
,,,,,,,http://uk.rs-online.com/web/p/products/1736350P,"OCU-400-UE365-X-T OSA Opto, OCU-400 Series UV LED, 367Nm",1.1,OSA Opto,OCU-400-UE365-X-T,1736350P,http://uk.rs-online.com/web/p/products/1736350P
,,,,,,,~,,,,,,
,,,,,,,~,,,,,,
,,,,,,,~,,,,,,
,,,,,,,http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf,,,,,,
