Item,Qty,Reference(s),Value,Footprint,,LCSC
1,8,"C1, C2, C3, C4, C7, C8, C20, C21",100 uF +-10%,C_1206_3216Metric,,C15008
2,7,"C9, C10, C13, C14, C16, C18, C19",100nF +-10%,C_0603_1608Metric,, C14663
3,2,"C11, C12",1uF +-10%,C_0603_1608Metric,,C15849
4,2,"C15, C17",22pf +-1%,C_0603_1608Metric,,C1653
5,2,"Q1, Q2",NTMS4807NR2G,SOIC127P600X175-8N,,C80851
6,3,"Q3, Q5, Q6",BSS138,SOT-23,,C112239
7,1,Q4,"PMV48XP,215",SOT95P230X110-3N,,C75560
8,13,"R1, R2, R3, R4, R5, R7, R8, R9, R10, R11, R12, R13, R14",10K +-5%,R_0402_1005Metric,,C25744
9,4,"R15, R16, R17, R18",5.1K +-5%,R_0402_1005Metric,,C25905
10,1,U1,ATmega328P-AU,TQFP-32,,C14877
11,1,Y1,X322516MLB4SI,X322516MLB4SI,,C13738
