Item,Reference(s),Qty,Manufacturer,Manufacturer Part Number,Value,Footprint,Type,Comment
1,"C1, C2, C3, C4, C7, C8, C20, C21",8,Generic cap,Generic cap,100 uF +-10%,C_1206_3216Metric,SMD,
2,"C9, C10, C13, C14, C16, C18, C19",7,Generic cap,Generic cap,100nF +-10%,C_0603_1608Metric,SMD,
3,"C11, C12",2,Generic cap,Generic cap,1uF +-10%,C_0603_1608Metric,SMD,
4,"C15, C17",2,Generic cap,Generic cap,22pf +-1%,C_0603_1608Metric,SMD,
5,J1,1,Jane's Components Store,https://www.aliexpress.com/item/32919095164.html?,Raspberry pi socket surface mount,PinSocket_2x20_P2.54mm_Vertical_SMD,SMD,open for suggestions for alternative suppliers 
6,"J3, J7",2,JST,JST_PH_B3B-PH-SM4-TB,Servo and Turbidity,JST_PH_B3B-PH-SM4-TB,SMD,
7,J5,1,JST,JST_PH_S6B-PH-SM4-TB,Defogger,JST_PH_S6B-PH-SM4-TB,SMD,
8,"J10, J11",2,JST,JST_PH_B4B-PH-SM4-TB_1x04-1MP,Screen and GPS,JST_PH_B4B-PH-SM4-TB_1x04-1MP,SMD,
9,J12,1,CJT(Changjiang Connectors),A2005WV-2x3P,Programming,PinHeader_2x03_P2.54mm,SMD,
10,J13,1,JST,JST_PH_S5B-PH-SM4-TB_1x05,Incubator,JST_PH_S5B-PH-SM4-TB_1x05,SMD,
11,"Q1, Q2",2,ON Semiconductor,NTMS4807NR2G,NTMS4807NR2G,SOIC127P600X175-8N,SMD,
12,"Q3, Q5, Q6",3,LGE,BSS138,BSS138,SOT-23,SMD,
13,Q4,1,Nexperia,"PMV48XP,215","PMV48XP,215",SOT95P230X110-3N,SMD,
14,"R1, R2, R3, R4, R5, R7, R8, R9, R10, R11, R12, R13, R14",13,Generic res,,10K +-5%,R_0402_1005Metric,SMD,
15,"R15, R16, R17, R18",4,Generic res,,5.1K +-5%,R_0402_1005Metric,SMD,
16,U1,1,Microchip,ATmega328P-AU,ATmega328P-AU,TQFP-32,SMD,
17,USB1,1,Korean Hroparts Elec,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,Mix,
18,Y1,1,Yangxing Tech,X322516MLB4SI,X322516MLB4SI,X322516MLB4SI,SMD,
